NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank
Engenharia de Produção (19563),UFPB,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.423076923076923,26,8
Letras-Português (Licenciatura) (5000898),UFPB,PB,56,"Ensino, apoio e avaliacão",Os professores apresentaram disponibilidade para atender os estudantes fora do horário das aulas.,5.419354838709677,31,1
Ciências Biológicas (Licenciatura) (113699),UFPB,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.4186046511627906,43,5
Ciência Da Computação (Bacharelado) (13401),UFPB,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.416666666666667,24,14
Ciências Sociais (Licenciatura) (1110230),UFPB,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.411764705882353,34,6
Pedagogia (Licenciatura) (13418),UFPB,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.4106280193236715,207,11
Ciência Da Computação (Licenciatura) (98984),UFPB,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.409090909090909,22,9
Ciência Da Computação (Licenciatura) (98984),UFPB,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.409090909090909,22,6
Pedagogia (Licenciatura) (122924),UFPB,PB,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,5.402597402597403,77,3
Pedagogia (Licenciatura) (122924),UFPB,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.3999999999999995,75,2
Pedagogia (Licenciatura) (13418),UFPB,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.393203883495145,206,10
Arquitetura e Urbanismo (13427),UFPB,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.392523364485981,107,15
Letras-Português (Licenciatura) (107548),UFPB,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.391608391608392,143,12
Ciência Da Computação (Licenciatura) (98984),UFPB,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.391304347826087,23,13
Ciência Da Computação (Licenciatura) (98984),UFPB,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.391304347826087,23,4
Engenharia (113617),UFPB,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.391304347826087,23,9
Letras-Português (Licenciatura) (109954),UFPB,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.3875,80,11
Matemática (Licenciatura) (99045),UFPB,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.387096774193548,31,16
Pedagogia (Licenciatura) (107356),UFPB,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.385964912280702,57,6
Engenharia de Produção (19563),UFPB,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.384615384615385,26,5
História (Licenciatura) (13415),UFPB,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.384615384615385,39,7
História (Licenciatura) (13415),UFPB,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.384615384615385,39,3
Pedagogia (Licenciatura) (107356),UFPB,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.375,64,6
Pedagogia (Licenciatura) (109626),UFPB,PB,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,5.375,72,4
Pedagogia (Licenciatura) (109626),UFPB,PB,30,"Ensino, apoio e avaliacão",O curso propiciou experiências de aprendizagem inovadoras.,5.375,72,2
Pedagogia (Licenciatura) (109626),UFPB,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.375,72,7
Letras-Português (Licenciatura) (109954),UFPB,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.3731343283582085,67,7
